Karly,Duncan,lamprecht@optonline.net,2.4
Billy,Austin,granboul@live.com,3.1
Kenna,Cummings,wildfire@live.com,1.7
Jessie,Hart,konit@verizon.net,2.2
Beatrice,Levine,hahiss@optonline.net,1.1
Maddison,Vargas,north@yahoo.ca,2.3
Abram,Wu,blixem@live.com,2.9
Amelie,Buck,sagal@gmail.com,2.1
Rigoberto,Ruiz,breegster@me.com,2.9
Nola,Gilbert,khris@msn.com,2.3
Aubrey,Bush,gamma@me.com,2.0
Simone,Cisneros,burns@att.net,1.1
Kyson,Saunders,galbra@hotmail.com,1.6
Anderson,Foley,alhajj@yahoo.ca,3.5
Lila,Chapman,peterhoeg@me.com,3.9
Eden,Burnett,giafly@sbcglobal.net,3.8
Saniya,Blevins,bancboy@me.com,3.6
Addyson,Ware,gospodin@mac.com,2.2
Ellis,English,burns@aol.com,1.8
Molly,Graves,mugwump@comcast.net,1.5
Aiyana,Page,devphil@hotmail.com,1.6
Messiah,Herring,themer@icloud.com,3.1
Lilah,Walker,mbswan@mac.com,3.2
Arielle,Kerr,haddawy@yahoo.com,3.0
Dashawn,Guerrero,kobayasi@hotmail.com,3.6
Cailyn,Oconnell,vmalik@verizon.net,1.6
Kael,Hawkins,bolow@optonline.net,2.5
Donna,Richmond,jeteve@gmail.com,4.0
Steven,Roth,jgoerzen@verizon.net,1.4
Sophia,Franco,giafly@outlook.com,2.8
Allison,Garner,chinthaka@mac.com,2.7
Payton,Thornton,boser@me.com,3.5
Brenda,Hunt,anicolao@msn.com,2.3
Kaylyn,Castaneda,mmccool@me.com,3.0
Madeline,Wood,gavinls@aol.com,2.2
Keyla,Barrett,afeldspar@optonline.net,2.4
Jose,Fritz,gfody@yahoo.com,2.0
Hezekiah,Reilly,suresh@outlook.com,2.8
Noemi,Potts,north@outlook.com,2.7
Zachariah,Lowery,library@optonline.net,3.5
Stephen,Owens,gerlo@live.com,1.8
Frida,Wu,notaprguy@comcast.net,1.6
Lina,Ramsey,bflong@sbcglobal.net,3.8
Ryker,Johnson,natepuri@hotmail.com,2.8
Alijah,Christian,papathan@icloud.com,1.9
Jordon,Knight,fraterk@outlook.com,3.7
Ramon,Hogan,knorr@msn.com,4.0
Dale,Woods,matloff@comcast.net,3.4
Finn,Huang,scottlee@hotmail.com,1.2
Penelope,Chan,tfinniga@yahoo.ca,1.1
Teagan,Benson,gslondon@yahoo.ca,3.6
Kymani,Quinn,lamprecht@verizon.net,3.8
Vicente,Howell,themer@mac.com,2.9
River,Beltran,snunez@hotmail.com,2.7
Jacey,Ellison,aegreene@optonline.net,1.6
Charlotte,Galvan,farber@hotmail.com,1.9
Lauren,Yates,rgarcia@hotmail.com,1.6
Matteo,Duncan,parsimony@optonline.net,3.9
Kathy,Robertson,rmcfarla@optonline.net,3.3
Marcelo,Mcfarland,bescoto@me.com,1.1
Avah,Willis,mpiotr@aol.com,2.5
Sabrina,Boyd,crobles@msn.com,2.7
Alberto,Mckay,jramio@msn.com,1.5
Kamora,Peck,thurston@live.com,1.1
Kamden,Sutton,maneesh@hotmail.com,3.9
Eva,Mullen,kourai@optonline.net,2.5
Tanner,Nichols,dmbkiwi@hotmail.com,3.7
Jamir,Graham,kassiesa@aol.com,3.8
Rogelio,Gordon,dbindel@msn.com,2.6
Xzavier,Santana,munson@verizon.net,2.3
Franco,Stout,jlbaumga@live.com,1.2
Myah,Bond,jbuchana@aol.com,1.1
Raelynn,Moss,trieuvan@optonline.net,1.9
Lina,Moreno,jbryan@verizon.net,2.8
Elle,Haas,warrior@yahoo.com,3.3
Kamden,Haney,rgarcia@gmail.com,3.7
Maryjane,Houston,demmel@verizon.net,3.4
Abbigail,Warner,wonderkid@sbcglobal.net,2.6
Myah,Warren,ournews@yahoo.ca,2.9
Abdiel,Bolton,jdhildeb@hotmail.com,3.0
Tiffany,Sims,jimmichie@optonline.net,3.8
Skye,Collier,petersko@comcast.net,2.5
Amina,Villegas,donev@comcast.net,2.4
Freddy,Watts,spadkins@me.com,2.0
Itzel,Hooper,smallpaul@yahoo.com,1.3
Jovani,Mcintyre,jwarren@att.net,1.5
Valerie,Park,drjlaw@msn.com,4.0
Abbey,Frye,campware@live.com,3.4
Carly,Cobb,spadkins@comcast.net,3.7
Anastasia,Andrews,torgox@yahoo.com,3.7
Raiden,Tyler,jmcnamara@live.com,1.7
Kadyn,Glass,thrymm@sbcglobal.net,3.9
Ashlynn,Chen,jyoliver@verizon.net,2.5
Cassidy,Carpenter,caidaperl@yahoo.com,1.8
Harley,Lin,gilmoure@comcast.net,1.1
Linda,Reed,blixem@aol.com,3.2
Memphis,Daugherty,lstein@icloud.com,1.7
Marlie,Archer,jbuchana@aol.com,2.0
Isabella,Lawrence,crypt@verizon.net,2.6
Violet,Cisneros,skajan@gmail.com,3.6
Luke,Owens,tmaek@yahoo.ca,2.1
Ariella,Owens,mchugh@att.net,2.9
Bailey,Wall,oechslin@hotmail.com,1.1
Rayna,Mcintyre,gboss@hotmail.com,1.4
Kaylen,Chandler,sriha@me.com,3.9
Chaya,Booth,offthelip@yahoo.com,1.3
Danielle,Johns,markjugg@msn.com,2.8
Kelsey,Welch,brainless@optonline.net,2.7
Noelle,Lamb,offthelip@yahoo.ca,2.1
Reece,Blevins,jfinke@att.net,1.6
Rachel,Knapp,caidaperl@aol.com,3.1
Jaylyn,Dickerson,gozer@msn.com,3.6
Luna,Dyer,terjesa@comcast.net,3.1
